FROM, TO, YEAR, VALUE, HECTARE
1, 1, 1991, 0.518, 22000
7, 1, 1991, 35, 260
1, 2, 1991, 0.2297, 22000
2, 2, 1991, 0.7542, 2172
2, 3, 1991, 0.0832, 2172
3, 3, 1991, 0.6096, 260
3, 4, 1991, 0.2731,260
4, 4, 1991, 0.5629,124
4, 5, 1991, 0.4371,124
5, 5, 1991, 0.8450,204
5, 6, 1991, 0.1150,204
6, 6, 1991, 0.79,164
6, 7, 1991, 0.21,164
7, 7, 1991, 1,260
1, 1, 1992, 0.4316,24400
7, 1, 1992, 90,288
1, 2, 1992, 0.2788,24400
2, 2, 1992, 0.7133,2624
2, 3, 1992, 0.1594,2624
3, 3, 1992, 0.6733,320
3, 4, 1992, 0.2510,320
4, 4, 1992, 0.65,140
4, 5, 1992, 0.3440,140
5, 5, 1992, 0.8443,244
5, 6, 1992, 0.1504,244
6, 6, 1992, 0.7604,148
6, 7, 1992, 0.2396,148
7, 7, 1992, 0.9850,288
1, 1, 1993, 0.5851,35600
7, 1, 1993, 170,300
1, 2, 1993, 0.2580,35600
2, 2, 1993, 0.8242,3808
2, 3, 1993, 0.0841,3808
3, 3, 1993, 0.8507,652
3, 4, 1993, 0.1232,652
4, 4, 1993, 0.6053,108
4, 5, 1993, 0.3947,108
5, 5, 1993, 0.7212,288
5, 6, 1993, 0.2267,288
6, 6, 1993, 0.7496,144
6, 7, 1993, 0.1136,144
7, 7, 1993, 1,300
